prov_id,Facility,Population Served,Phone Number,Street Address,Ext.,City,County,ZIP Code,Contact Email,full_add,lon,lat
GAAC01319,ATHENS PULMONARY AND CRITICAL CARE,Public,+1 (706) 549-5560,3320 OLD JEFFERSON RD,BLDG 200 STE A,ATHENS,Clarke,30607,MNUNNS@ATHENSPULMONARY.COM,"3320 OLD JEFFERSON RD, ATHENS, GA 30607",-83.4166563,33.9845918
GAAC01400,WALGREENS #12886,Public,+1 (706) 765-2000,3355 LEXINGTON RD,NA,ATHENS,Clarke,30605-2450,RXM.12886@STORE.WALGREENS.COM,"3355 LEXINGTON RD, ATHENS, GA 30605-2450",-83.3230731,33.9394013
GAA210102,CLARKE COUNTY HEALTH DEPT,Public,+1 (706) 521-1277,345 NORTH HARRIS STREET,NA,ATHENS,Clarke,30601-2411,NATALIE.KEADLE@DPH.GA.GOV,"345 NORTH HARRIS STREET, ATHENS, GA 30601-2411",-83.3883704,33.9580157
GAAC00003,ELBERT MEMORIAL HOSPITAL,Public,+1 (7062132547),4 MEDICAL DRIVE,NA,ELBERTON,Clarke,30635,THARLOW@EMHCARE.NET,"4 MEDICAL DRIVE, ELBERTON, GA 30635",-82.8747519,34.112518
GAAC01116,SAMS CLUB STORE 8194,Public,+1 (706) 548-1913,4365 ATLANTA HWY,NA,BOGART,Clarke,30622-2208,PHARMACY-MGR.S08194@CLUBS.US.WAL-MART.COM,"4365 ATLANTA HWY, BOGART, GA 30622-2208",-83.4863579,33.9386909
GAAC01057,WALMART STORE 2811,Public,+1 (706) 355-3090,4375 LEXINGTON RD,NA,ATHNES,Clarke,30605-2525,RX-MANAGER.S02811@STORES.US.WAL-MART.COM,"4375 LEXINGTON RD, ATHNES, GA 30605-2525",-83.3098186,33.9335284
GAAC00383,THE LITTLE CLINIC OF GA HWY 29,Public,+1 (706) 715-3746,700 US HWY 29 N,NA,ATHENS,Clarke,30601,ATL00311CLINICMGR@THELITTLECLINIC.COM,"700 US HWY 29 N, ATHENS, GA 30601",-83.3333694,33.9959378
GAAC00712,KROGER PHARMACY 618,Public,+1 (706) 715-3740,700 US HWY 29 NORTH,NA,ATHENS,Clarke,30601,AT00618PHARMACY@STORES.KROGER.COM,"700 US HWY 29 NORTH, ATHENS, GA 30601",-83.3333694,33.9959378
GAAC01805,BUY WISE PHARMACY,Public,+1 (706) 353-7847,740 N CHASE STREET,NA,ATHENS,Clarke,30601,BUYWISEPHARMACY@MSN.COM,"740 N CHASE STREET, ATHENS, GA 30601",-83.3928285,33.9639579
GAAC00557,BENZER PHARMACY ATHENS,Public,+1 (706) 510-4040,484 NORTH AVENUE,NA,ATHENS,Clarke,30601,DONALDBESS@YAHOO.COM,"484 NORTH AVENUE, ATHENS, GA 30601",-83.3621593,33.9753354
GAA700025,ATHENS NEIGHBORHOOD HEALTH CENTER,Public,+1 (706) 546-5526,675 COLLEGE AVE,NA,ATHENS,Clarke,30601,RGLADMON@ANEIGHBOR.ORG,"675 COLLEGE AVE, ATHENS, GA 30601",-83.3774782,33.9629371
GAAC01479,VILLAGE DRUG SHOP,Public,+1 (706) 548-4444,740 PRINCE AVE,VILLAGE DRUG SHOP,ATHENS,Clarke,30606,VILDRUG@BELLSOUTH.NET,"740 PRINCE AVE, ATHENS, GA 30606",-83.3896639,33.9616842
GAA700012,ATHENS NEIGHBORHOOD HEALTH CENTER-HILSMA,Public,+1 (706) 546-7463,870 GAINES SCHOOL RD,NA,ATHENS,Clarke,30605,RGLADMON@ANEIGHBOR.ORG,"870 GAINES SCHOOL RD, ATHENS, GA 30605",-83.3367727,33.9307755
GAAC00468,KROGER PHARMACY 435,Public,+1 (706) 583-8911,1720 EPPS BRIDGE RD,NA,ATHENS,Clarke,30606,AT00435PHARMACY@STORES.KROGER.COM,"1720 EPPS BRIDGE RD, ATHENS, GA 30606",-83.4464058,33.9131465
GAAC00205,UNIVERSITY CANCER AND BLOOD CENTER,Public,+1 (706) 353-4344,3320 OLD JEFFERSON ROAD,BLDG 700A,ATHENS,Clarke,30607,thall@universitycancer.com,"3320 OLD JEFFERSON ROAD, ATHENS, GA 30607",-83.4166563,33.9845918
GAAC00228,EAST MARIETTA DRUGS HORTONS DRUG STORE,Public,+1 (706) 543-3454,101 EAST CLAYTON STREET,NA,ATHENS,Clarke,30601,HORTONSDRUGSTORE@BELLSOUTH.NET,"101 EAST CLAYTON STREET, ATHENS, GA 30601",-83.37704,33.9584691
GAAC00129,HAWTHORNE DRUG CO.,Public,+1 (706) 548-5227,975A HAWTHORNE AVE,NA,ATHENS,Clarke,30606,ANDY@HAWTHORNEDRUGS.COM,"975A HAWTHORNE AVE, ATHENS, GA 30606",-83.4145455,33.9696408
GAAC01394,WALGREENS #12726,Public,+1 (678) 425-6954,10 E MAY ST,NA,WINDER,Barrow,30680-1949,RXM.12726@STORE.WALGREENS.COM,"10 E MAY ST, WINDER, GA 30680-1949",-83.7221551,33.9907527
GAA601085,MEDLINK WINDER PEDIATRICS,Public,+1 (770) 867-6633-1715,133 WEST ATHENS STREET,NA,WINDER,Barrow,30680-1707,MVILLAGOMEZ@MEDLINKGA.ORG,"133 WEST ATHENS STREET, WINDER, GA 30680-1707",-83.726285,33.9949744
GAA210101,BARROW COUNTY HEALTH DEPT,Public,+1 (770) 307-3011-222,15 PORTER STREET EAST,NA,WINDER,Barrow,30680-2292,SUSAN.KRISTAL@DPH.GA.GOV,"15 PORTER STREET EAST, WINDER, GA 30680-2292",-83.7224044,33.9923896
GAAC00425,INGLES PHARMACY #451,Public,+1 (770) 277-5284,1502 ATLANTA HWY NW,NA,AUBURN,Barrow,30011,INGRX451@INGLES-MARKETS.COM,"1502 ATLANTA HWY NW, AUBURN, GA 30011",-83.838337,34.01035
GAAC01202,PUBLIX PHARMACY#0480,Public,+1 (770) 307-2906,17 MONROE HWY. STE. A,NA,WINDER,Barrow,30680,FRANCINE.NAPOLITANO@PUBLIX.COM,"17 MONROE HWY. STE. A, WINDER, GA 30680",-83.7137698,33.9812177
GAAC00816,PUBLIX PHARMACY#0108,Public,+1 (678) 425-6206,2095 HIGHWAY 211 NW,NA,BRASELTON,Barrow,30517,FRANCINE.NAPOLITANO@PUBLIX.COM,"2095 HIGHWAY 211 NW, BRASELTON, GA 30517",-83.8123913,34.1031356
GAAC00446,FARMER'S PRESCRIPTION SHOP,Public,+1 (770) 867-9081,279 NORTH BROAD STREET,STE A,WINDER,Barrow,30680,RXDAWG@MINDSPRING.COM,"279 NORTH BROAD STREET, WINDER, GA 30680",-83.7064213,34.0029146
GAAC00674,INGLES PHARMACY #57,Public,+1 (770) 867-7116,283 N BROAD ST,NA,WINDER,Barrow,30680,INGRX057@INGLES-MARKETS.COM,"283 N BROAD ST, WINDER, GA 30680",-83.7048021,34.0036556
GAAC01010,WALMART STORE 520,Public,+1 (770) 307-1272,440 ATLANTA HWY NW,NA,WINDER,Barrow,30680-7826,RX-MANAGER.S00520@STORES.US.WAL-MART.COM,"440 ATLANTA HWY NW, WINDER, GA 30680-7826",-83.7565976,33.9899889
GAAC01194,PUBLIX PHARMACY#1251,Public,+1 (770) 307-1637,916 LOGANVILLE HWY. SUITE 200,NA,BETHLEHEM,Barrow,30620,MARIANA.JONES@PUBLIX.COM,"916 LOGANVILLE HWY. SUITE 200, BETHLEHEM, GA 30620",-83.7542744,33.9437163
GAA501069,HEALTH ASSOCIATES OF GEORGIA INC.,Public,+1 (678) 975-7471,323 RESOURCE PARKWAY,NA,WINDER,Barrow,30680,JENNIFER.BETHLEHEMDOC@GMAIL.COM,"323 RESOURCE PARKWAY, WINDER, GA 30680",-83.7415158,33.9767109
GAAC00280,NIGHTINGALE INFUSION INC. -NEA,Public,+1 (706) 769-7658,1751 MERIWEATHER DR,SUITE 2,WATKINSVILLE,Oconee,30677,BFRIES@HELP-1.COM,"1751 MERIWEATHER DR, WATKINSVILLE, GA 30677",-83.4633169,33.9181503
GAAC01540,IVYDALE WELLNESS CENTER LLC,"Public with a focus on minority, transitional home, and homeless populations",+1 (770) 291-0419,361 RESOURCE PARKWAY,OPTIONAL,WINDER,Barrow,30680,IVYDALEWELLNESSCENTER@GMAIL.COM,"361 RESOURCE PARKWAY, WINDER, GA 30680",-83.7418893,33.9759925
GAAC01351,HODGSON'S PHARMACY,Public/Private (depending on vaccine availability),+1 (706) 543-7386,1260 S MILLEDGE AVE STE F-1,NA,ATHENS,Clarke,30605,RABUN@HODGSONSRX.COM,"1260 S MILLEDGE AVE STE F-1, ATHENS, GA 30605",-83.3861696,33.9381674
GAAC01595,OGLETHORPE COUNTY EMS,Public/Private (situation depending),+1 (706) 743-8364,892 ATHENS ROAD,NA,CRAWFORD,Oglethorpe,30630,JLEWIS@OGLETHORPECOUNTYGA.GOV,"892 ATHENS ROAD, CRAWFORD, GA 30630",-83.1350373,33.8897248
GAAC00905,CENTER FOR VACCINES AND IMMUNOLOGY,NA,+1 (706) 542-9708,501 D.W. BROOKS DRIVE,CVI ROOM 1504,ATHENS,Clarke,30602,TEDROSS@UGA.EDU,"501 D.W. BROOKS DRIVE, ATHENS, GA 30602",-83.3753061,33.9405849
GAA600429,AUBURN PRIMARY CARE PC,NA,+1 (770) 848-9320,12 SEVENTH ST,NA,AUBURN,Barrow,30011,CINDY.FULCHER@NGHS.COM,"12 SEVENTH ST, AUBURN, GA 30011",-83.8239957,34.0104526
GAA601309,NGPG GATEWAY EXCHANGE,NA,+1 (770) 868-5186,426 EXCHANGE BOULEVARD,SUITE 600,BETHLEHEM,Barrow,30620,ME.YANG@NGHS.COM,"426 EXCHANGE BOULEVARD, BETHLEHEM, GA 30620",-83.7390053,33.9415528
